,Fabrikalar,Mudur_Sayisi,Mudur_Maasi,Mudur_Puani,Calisan_Sayisi,Calisan_Maasi,Calisan_Puani,Satis_Pazarlama_Mudur_Sayisi,Satis_Pazarlama_Mudur_Puani,Satis_Pazarlama_Mudur_Maasi,Satis_Pazarlama_Calisan_Eleman_Sayisi,Satis_Pazarlama_Calisan_Eleman_Puani,Satis_Pazarlama_Calisan_Eleman_Maasi,Makine_Maaliyeti,Calisan_Mesai,Mola_Suresi,Makine_Sayisi,Makine_Haftalik_Bakim,Makine_Bakim_Ucreti,Veri_Analizi_Mudur_Sayisi,Veri_Analizi_Mudur_Puani,Veri_Analizi_Mudur_Maasi,Veri_Analizi_Calisan_Sayisi,Veri_Analizi_Calisan_Puani,Veri_Analizi_Calisan_Maasi,Depo_Sayisi,Isci_Memnuniyeti,Lojistik_Sayisi,Lojistik_Puani,Ortalama_Calisma_Suresi,Uretim_Hizi,Uretim_Miktari,Urun_Hata_Orani,Fabrika_Giderleri,Urun_Basi_Maliyet,Urun_Basi_Kar,Urun_Min_Satis_Fiyati,Urun_Max_Satis_Fiyati,Hammadde_Cesidi,Kaucuk_Alis_Fiyati,Kaucuk_Satis_Fiyati,Kaucuk_Kalitesi,Motorsiklet_Lastik_Performansi,Traktor_Lastik_Performansi,Bisiklet_Lastik_Performansi,SUV_Lastik_Performansi,Yazlik_Lastik_Performansi,Dort_Mevsim_Lastik_Performansi,Kislik_Lastik_Performansi,Lastik_Capi,Lastik_Agirligi,Lastik_Ebati,Kuru_Zemin_Fren,Islak_Zemin_Fren,Karli_Zemin_Fren,Konfor,Viraj_Donus_Puan,Yol_Temasi,Direksiyon_Hakimiyeti,Yakit_Tuketimi,Yuk_Endeksi,Off_Road_Uygunlugu,Sirt_Deseni,Gurultu,Asinma,Centik_Sayisi
518,Fabrika 519,8,13.043,5,6882,6781,5,15,9,12172,6953,6,4800,180173,5,34,5092,2,6558,5,10,15677,6943,10,9187,53,8,26,9,35,6,168193,4,777522,44,101,209,469,2,37082,38619,6,9,8,6,5,7,7,8,16,6,10,7,9,7,7,10,7,8,5,8,9,10,5,8,9
519,Fabrika 520,12,13.718,8,6740,4913,5,8,9,9650,5905,8,4554,496605,9,49,5838,2,5005,6,10,16301,5778,10,9846,33,5,38,8,32,10,291182,3,713655,22,92,219,718,3,38439,39146,8,7,6,8,5,5,9,8,20,6,8,5,6,10,8,6,5,5,5,10,5,6,5,5,9
520,Fabrika 521,13,9.681,5,6612,4740,8,9,7,12558,5826,5,5826,297426,3,31,4651,2,7449,7,10,15530,5114,10,10622,23,7,46,5,50,7,437298,5,940268,80,68,240,582,3,44741,41533,7,10,6,8,9,5,8,6,12,6,5,5,10,7,7,9,9,5,5,5,5,5,10,10,8
521,Fabrika 522,8,12.117,10,5219,5290,9,9,5,9826,7217,7,5980,243252,11,44,6398,3,7263,9,10,15252,4632,10,14518,38,10,32,8,30,6,349063,4,612055,58,85,210,585,3,40651,42399,8,10,8,10,7,5,8,7,16,6,9,7,7,7,7,6,6,9,6,5,10,5,6,5,9
522,Fabrika 523,7,10.517,8,6763,5026,6,9,5,8520,6049,9,4781,390105,16,38,6033,3,6873,9,10,15826,6758,10,14557,29,5,32,5,27,8,223584,2,903785,60,117,207,563,2,44050,37720,9,10,7,7,9,5,5,10,14,6,9,9,10,5,7,5,9,7,7,7,8,6,9,10,5
523,Fabrika 524,8,13.210,10,7336,6514,8,8,6,8445,6545,10,5567,466725,20,46,5258,3,4595,7,10,15662,6284,10,10753,55,7,37,8,33,10,142034,2,752157,67,63,203,576,3,39969,39199,6,10,8,10,6,8,6,10,16,6,7,9,7,7,8,9,7,6,10,8,9,10,6,10,7
524,Fabrika 525,9,8.886,9,6919,4733,5,10,9,13989,5128,8,6781,398810,21,34,6338,2,6591,7,10,17376,5400,10,14888,30,10,50,10,29,10,372909,5,857331,44,86,210,630,3,36003,37563,8,5,5,8,8,5,9,8,14,6,10,6,9,7,8,10,8,9,9,7,7,10,10,8,10
525,Fabrika 526,15,9.965,8,6735,5869,9,11,8,8091,6069,8,5325,299413,16,47,6785,2,5459,8,10,19465,7173,10,9219,25,6,29,8,29,6,418343,3,899005,29,81,207,497,3,36927,44063,10,5,9,7,8,7,9,10,12,6,8,5,6,8,9,6,7,5,7,7,8,7,9,5,6
526,Fabrika 527,10,14.363,5,5261,5134,7,10,9,11357,5596,8,5422,101929,11,46,7389,3,5021,8,10,15495,5506,10,13041,45,6,50,7,50,9,424852,3,644759,39,94,231,460,3,41747,44210,7,9,8,8,9,7,8,9,13,6,9,8,5,5,6,5,5,8,9,10,5,10,7,6,10
527,Fabrika 528,8,11.974,10,4843,6748,10,9,8,8042,7362,5,5383,240436,10,30,7295,2,7329,9,10,18035,5207,10,11904,31,7,25,9,35,5,140747,3,936731,54,87,238,684,3,38838,40457,10,7,7,6,10,9,10,5,16,6,10,7,5,10,8,8,5,10,7,10,8,6,10,5,9
528,Fabrika 529,13,9.778,10,5208,6355,6,8,5,14751,7365,10,5113,419333,10,50,5182,2,5639,5,10,17510,7486,10,12331,23,7,31,10,50,9,117930,1,522488,71,76,201,643,2,35292,43782,8,8,10,8,10,8,5,8,15,6,7,7,6,9,6,6,5,5,8,9,8,5,5,8,8
529,Fabrika 530,8,10.624,7,5811,6564,10,14,6,14645,7277,6,6342,321219,22,39,5672,2,4697,7,10,17723,6575,10,10586,36,5,47,5,31,8,460091,3,739654,73,101,235,493,2,40342,41647,10,6,9,8,8,9,7,10,15,6,10,10,7,8,8,7,10,9,8,10,10,6,9,5,6
530,Fabrika 531,8,14.989,9,6172,5837,9,10,6,14247,7237,10,4889,401221,5,48,7046,3,7064,7,10,15513,5954,10,11421,24,6,32,6,39,6,371461,3,788844,55,62,233,601,3,44943,40037,6,6,5,5,5,5,5,10,13,6,5,9,10,7,6,10,8,5,7,9,6,5,7,8,5
531,Fabrika 532,14,9.121,7,5940,4999,6,11,8,8939,7402,9,4785,275616,22,31,6245,3,6052,7,10,19091,6605,10,11616,35,7,28,8,30,7,406494,4,905984,61,120,208,551,1,42092,43195,6,8,10,8,8,5,5,5,13,6,7,7,7,10,9,7,7,7,6,10,6,9,9,9,8
532,Fabrika 533,11,12.919,8,7067,7062,5,11,6,9474,6928,10,5188,211614,13,48,4679,3,5672,6,10,17194,5705,10,13824,25,6,42,8,25,7,189969,4,740806,34,94,202,617,1,40770,42291,5,7,6,10,8,9,10,5,12,6,8,5,7,7,8,7,10,9,8,10,9,5,10,6,8
533,Fabrika 534,15,8.744,6,7128,5924,6,15,7,8228,5887,10,7479,490144,22,47,4967,2,4520,9,10,19533,7468,10,10083,45,6,50,8,39,5,280740,3,977742,58,71,236,729,2,43940,38733,9,9,6,5,9,7,6,7,15,6,5,10,7,7,9,8,5,7,10,8,6,10,8,5,7
534,Fabrika 535,15,10.731,7,4683,5006,5,11,6,10658,6811,5,4709,420122,18,46,6062,3,5996,6,10,15380,6115,10,7771,42,10,42,10,42,8,396045,4,550775,73,65,207,674,2,38237,41568,7,6,7,7,9,5,5,10,20,6,7,7,9,6,5,5,6,7,6,6,6,10,10,5,6
535,Fabrika 536,7,14.774,6,4709,7002,9,15,9,12917,6824,6,7111,488250,18,43,7186,3,6518,8,10,16917,7434,10,7854,30,10,34,5,49,9,157372,4,920493,46,113,201,480,2,39044,40683,5,7,6,6,6,6,8,9,14,6,6,8,5,10,6,5,8,5,9,9,5,6,6,6,6
536,Fabrika 537,10,8.095,8,5012,6783,5,11,8,14188,7115,9,4917,185649,14,31,4789,3,6577,8,10,16753,6486,10,14468,37,5,31,10,32,9,486724,1,634362,21,90,227,647,3,42016,41628,8,10,8,6,9,10,9,9,14,6,10,6,7,9,10,9,5,5,7,8,10,6,8,8,7
537,Fabrika 538,13,8.329,8,4921,4590,5,11,10,12533,6783,8,5629,155726,16,30,6106,3,5791,9,10,16891,5021,10,11717,53,6,36,6,35,5,162401,1,949477,35,74,240,873,1,42342,36724,7,10,6,7,7,5,6,10,16,6,5,7,6,9,5,10,5,5,5,6,5,6,9,9,8
538,Fabrika 539,10,11.046,9,6747,7058,8,8,7,14734,5440,5,7323,452981,19,50,5231,3,6297,8,10,15860,6775,10,11360,28,7,48,5,48,8,444986,2,575117,71,119,233,483,2,42294,41334,7,10,6,6,10,8,10,10,13,6,5,9,6,8,6,8,8,6,5,7,8,5,10,6,5
539,Fabrika 540,13,10.777,7,4696,6725,9,10,9,8381,5318,8,6504,337899,13,32,7391,2,6580,6,10,16378,6940,10,11071,51,8,27,9,33,5,254369,2,818139,48,82,222,825,3,43701,41440,10,8,9,9,9,10,10,7,16,6,5,6,10,9,8,6,6,8,5,6,6,9,6,7,7
540,Fabrika 541,13,11.355,6,4871,4841,5,15,9,9394,7270,10,6722,294301,11,35,7145,3,4899,10,10,18633,6399,10,13941,29,7,27,6,27,6,334495,2,886137,47,61,229,861,1,36628,41251,7,8,5,5,6,7,7,7,20,6,7,7,5,8,8,8,8,9,10,10,5,5,8,10,6
541,Fabrika 542,12,10.023,10,6106,7155,9,11,7,7525,6995,6,7151,426818,22,38,5385,2,5927,10,10,19407,5683,10,12656,48,10,44,9,40,7,251360,1,840883,66,82,215,512,1,42608,43252,9,10,7,7,8,10,8,9,16,6,9,6,9,9,8,8,5,10,5,9,6,8,6,7,8
542,Fabrika 543,9,7.806,9,7390,5205,6,8,8,11071,5428,9,7389,116399,19,34,5461,3,6233,5,10,19405,7104,10,11433,42,9,39,5,47,8,189434,3,887449,79,105,209,676,1,43596,42420,9,7,7,6,10,6,5,10,16,6,6,5,5,5,7,5,9,7,8,10,5,10,9,5,6
543,Fabrika 544,12,11.413,10,5278,6740,5,12,9,14784,5966,6,5211,246909,16,31,6589,3,7404,9,10,16827,5223,10,12395,21,8,50,5,41,8,298531,2,663506,74,70,204,862,1,38357,37682,5,9,5,6,8,5,8,7,16,6,6,9,5,7,10,6,6,10,9,9,6,5,7,9,7
544,Fabrika 545,15,8.318,9,5365,4733,10,11,6,8720,4775,6,6571,359451,14,44,6224,2,6058,6,10,17528,6044,10,8087,45,7,30,5,39,9,472253,2,711771,43,79,235,589,2,39607,38520,8,10,7,10,9,6,10,6,14,6,10,8,7,10,9,8,10,7,9,9,6,6,5,7,9
545,Fabrika 546,11,14.787,9,6803,7043,8,14,9,10672,6805,5,7361,481383,13,30,6756,2,6430,10,10,18481,5289,10,9139,54,7,49,5,48,8,364964,2,620163,30,88,234,681,2,42230,41176,8,8,7,10,7,6,6,10,12,6,8,10,5,5,8,8,6,9,10,10,10,10,6,6,9
546,Fabrika 547,8,10.476,7,4741,4873,6,10,6,8700,5013,5,6786,313410,15,26,4867,3,5955,5,10,18178,4674,10,13780,23,7,38,7,46,10,462521,1,801369,54,70,228,742,2,37365,42497,9,7,8,6,9,7,9,9,18,6,9,8,9,9,7,10,10,8,10,5,9,5,5,7,7
547,Fabrika 548,7,9.120,9,7214,5074,8,7,6,7779,5595,6,5028,418981,18,34,4799,3,6373,9,10,19525,5517,10,9541,48,5,35,6,47,6,175004,4,852019,79,88,235,690,3,37899,35865,5,10,8,9,9,5,10,9,18,6,10,7,8,7,7,9,6,5,10,5,10,9,7,10,7
548,Fabrika 549,10,11.899,10,7005,4960,10,15,8,11038,4943,10,7102,130677,16,48,6287,2,6491,10,10,19569,6909,10,11800,57,10,41,6,31,7,301653,1,663425,66,112,236,701,2,43641,36087,6,8,6,5,8,5,6,8,14,6,9,9,6,7,5,8,8,6,8,5,6,7,9,10,8
549,Fabrika 550,15,12.687,9,7223,4526,7,7,7,13723,7275,10,4540,268971,20,34,7062,2,7214,8,10,16659,6493,10,11237,56,8,43,7,35,8,308317,4,757971,22,101,234,742,3,42199,37142,9,8,9,10,6,6,9,8,16,6,6,8,8,5,6,6,9,6,5,8,9,10,5,7,7
550,Fabrika 551,10,13.759,7,5282,5709,6,15,10,12734,5852,5,6365,141910,11,30,6018,2,6191,6,10,15087,4992,10,11823,37,6,39,8,27,6,358028,5,610509,22,92,218,833,2,38383,36363,10,10,6,10,9,7,7,10,17,6,5,9,8,9,7,5,6,8,9,5,5,9,8,8,9
551,Fabrika 552,13,7.665,9,6149,6109,8,14,5,9896,6067,6,4941,446916,12,25,7059,3,5474,6,10,15457,7446,10,9501,27,10,44,8,49,7,217933,1,906023,78,80,224,630,3,36411,41533,8,6,9,9,8,5,9,10,15,6,7,6,6,10,7,10,5,9,10,6,6,10,7,10,6
552,Fabrika 553,10,10.198,9,6810,5315,9,7,8,7957,7065,10,7339,367682,15,30,4553,3,4630,10,10,19652,6165,10,8937,31,10,33,7,39,9,130636,5,899182,53,72,208,461,3,39511,43172,10,5,10,5,10,8,9,9,20,6,9,8,5,6,8,5,6,6,8,5,7,5,7,8,6
553,Fabrika 554,15,8.847,6,5854,5944,9,7,10,14591,4906,10,6160,145877,6,38,5119,2,6323,7,10,18197,5743,10,13338,54,10,43,6,50,9,369241,3,974436,61,91,214,773,2,44785,42584,7,7,6,6,10,9,10,5,16,6,9,7,8,6,10,7,8,9,8,7,9,7,6,5,10
554,Fabrika 555,8,14.955,6,7105,6710,7,8,9,8888,7376,8,5045,146338,6,34,6036,2,6527,5,10,16610,6156,10,12266,47,10,39,5,50,7,276933,1,993909,66,103,234,832,1,40114,40902,9,8,5,8,5,6,9,10,18,6,6,8,9,8,8,5,9,7,6,9,9,10,5,5,5
555,Fabrika 556,13,11.776,10,5346,5597,10,8,10,9577,4709,7,6650,157284,17,28,6031,2,5670,9,10,18087,6900,10,12320,47,6,34,10,48,10,348791,1,634362,41,73,201,517,3,42838,39184,6,6,10,6,6,5,8,6,17,6,6,8,10,10,9,10,6,8,6,10,7,8,10,8,5
556,Fabrika 557,8,13.049,5,6158,6425,5,7,9,7529,5684,9,5063,315057,10,37,6317,2,5043,5,10,16394,6514,10,7972,27,6,29,8,27,10,349915,5,614026,25,102,234,917,1,39038,40504,7,5,9,7,7,10,9,6,19,6,5,6,5,6,9,10,10,10,10,7,8,8,10,10,7
557,Fabrika 558,12,12.331,5,6980,5129,8,8,5,11034,5450,5,6040,309713,9,42,7007,2,4523,9,10,16930,5183,10,9441,59,5,47,8,25,9,390644,3,597080,76,116,207,592,2,39028,40682,6,6,5,10,6,5,6,7,20,6,6,5,8,9,10,8,9,9,5,5,6,8,10,5,9
558,Fabrika 559,9,12.290,9,5507,5185,6,15,5,10007,6415,6,4583,245393,22,37,6791,3,5287,5,10,18568,6615,10,11744,60,10,49,8,37,9,380131,3,687578,36,78,225,546,2,35635,44555,5,8,5,5,9,8,8,10,20,6,5,6,10,6,6,10,9,5,9,6,6,8,9,10,10
559,Fabrika 560,15,8.269,10,4929,6000,7,15,9,9597,6362,8,4521,470437,4,48,6505,2,7332,7,10,17529,6614,10,13084,48,6,50,9,34,10,265087,4,511589,46,64,229,489,3,35262,42052,7,9,10,10,7,10,7,10,12,6,6,10,6,9,6,7,5,10,6,5,8,8,9,7,5
560,Fabrika 561,11,14.777,6,6376,6258,8,7,5,8248,4916,10,7238,411554,16,26,5967,2,6373,8,10,16285,7235,10,9590,34,9,37,7,45,7,122546,2,646845,41,87,235,470,3,40892,41515,7,7,9,10,10,7,6,9,17,6,10,8,8,9,7,10,10,6,6,5,10,5,8,9,6
561,Fabrika 562,9,12.233,5,6629,6986,6,9,9,8411,7469,5,4678,232699,16,27,6665,3,6959,6,10,15801,6355,10,8204,41,10,48,9,27,6,336985,5,779439,24,104,212,669,2,42494,43825,5,7,7,10,10,8,9,6,18,6,5,5,7,7,5,9,8,8,7,10,7,10,6,9,6
562,Fabrika 563,15,13.676,9,6286,6378,7,15,5,11271,6218,7,6898,126204,9,42,4501,2,6517,10,10,18369,7167,10,10697,54,7,26,10,47,8,346409,4,540899,42,117,204,734,3,36040,38745,6,9,7,7,5,8,6,5,15,6,6,6,9,6,7,8,8,7,10,6,10,9,7,7,10
563,Fabrika 564,10,13.813,6,7343,7449,6,8,10,13708,6937,6,5505,423412,9,47,5540,2,5901,10,10,18423,6323,10,13978,26,10,25,6,26,5,138523,3,762826,70,86,227,945,2,40771,36661,6,6,5,9,7,5,9,8,17,6,5,10,9,10,7,6,9,9,5,9,10,7,5,5,9
564,Fabrika 565,13,10.236,6,6616,6499,9,10,6,8002,6410,5,7079,352658,5,45,7067,3,6474,7,10,15112,6976,10,9774,22,5,44,6,50,7,391542,4,769208,46,89,215,680,3,38749,38385,10,9,9,6,8,7,7,10,15,6,6,6,5,8,7,5,10,6,6,7,9,8,10,10,9
565,Fabrika 566,10,10.095,5,7137,6594,10,10,10,9453,7084,9,5490,474226,5,32,5988,2,4618,9,10,15456,5872,10,10541,59,10,27,5,49,9,423612,2,833022,31,91,236,514,3,37478,38843,10,5,10,9,8,5,10,6,13,6,7,9,5,6,8,7,5,9,6,6,8,9,7,9,10
566,Fabrika 567,13,13.263,9,5195,6291,6,10,6,13893,4695,9,6656,301633,19,36,6827,2,6452,8,10,15017,5734,10,8181,57,8,45,7,33,10,353891,5,707016,39,94,203,888,3,41155,36293,8,9,9,8,7,5,10,8,15,6,7,6,8,10,5,9,8,10,6,9,6,6,10,8,8
567,Fabrika 568,14,8.460,5,6160,6420,6,8,6,13285,7227,5,6825,213333,8,30,6868,2,7401,9,10,17938,7324,10,11763,36,7,32,10,45,5,454362,2,723279,76,98,224,682,3,43166,41577,10,9,6,7,9,7,8,5,20,6,9,7,8,7,6,8,10,5,9,7,5,8,9,10,9
568,Fabrika 569,12,13.367,6,6746,5754,9,14,10,14105,5128,5,6926,355941,17,40,6289,3,4520,6,10,19337,5077,10,13908,26,10,35,6,45,8,322236,1,615071,41,94,206,937,2,37636,36284,8,6,6,7,6,9,6,8,15,6,7,6,7,8,9,5,8,10,6,7,5,10,10,5,5
569,Fabrika 570,14,12.540,10,6696,5108,7,12,8,14946,5472,9,4627,240517,12,30,7155,2,5640,10,10,17790,6473,10,13104,33,5,37,10,47,9,321233,3,928335,65,77,230,509,3,44473,40617,6,10,8,10,6,6,9,7,18,6,10,8,6,7,10,10,9,10,7,9,5,9,6,5,10
570,Fabrika 571,9,10.277,8,6760,5974,9,13,8,9498,5798,6,6381,421803,17,27,6402,2,6225,7,10,15628,6584,10,13423,39,6,33,5,47,8,183893,1,668420,56,101,231,702,2,39156,39067,5,7,8,5,9,9,5,8,12,6,10,7,10,7,8,7,5,10,5,9,5,5,7,8,5
571,Fabrika 572,15,10.286,6,5836,5897,10,8,10,13050,6980,8,4968,141788,6,27,6433,2,4525,9,10,19204,5509,10,11867,33,6,44,6,50,9,416560,5,774145,56,118,223,867,2,44504,35773,5,8,5,8,8,6,8,10,13,6,9,9,10,7,6,8,9,7,9,6,6,6,9,8,10
572,Fabrika 573,14,14.138,10,6796,5362,6,8,8,8655,6563,9,5297,291234,19,38,4829,3,4802,7,10,19780,6258,10,9563,52,5,36,5,30,9,336649,2,846466,44,103,221,730,1,40373,41362,8,7,10,7,8,6,10,6,14,6,6,9,7,8,9,6,6,5,10,10,8,7,8,10,7
573,Fabrika 574,15,10.343,10,5639,6668,5,7,9,8389,5647,5,5547,107661,20,37,6111,2,5721,7,10,15461,4999,10,14864,45,9,31,5,37,6,183744,4,743602,38,109,208,667,1,35090,40305,7,7,7,7,5,10,8,10,12,6,9,9,7,9,6,10,8,9,6,5,9,6,6,7,6
574,Fabrika 575,12,9.736,5,4762,5485,10,13,5,11873,4607,9,5405,119592,6,38,6208,3,5944,8,10,18638,6801,10,7863,29,10,46,8,31,8,254575,2,648342,77,102,216,519,3,43592,42559,6,9,7,8,6,10,6,9,13,6,8,10,5,9,7,8,8,10,6,10,10,6,9,7,5
575,Fabrika 576,11,10.795,9,6735,6694,9,15,5,8337,6466,7,7307,218108,14,36,4600,2,6985,6,10,19376,6716,10,14919,58,7,37,10,36,9,187206,5,527272,42,91,201,786,3,44433,36892,10,6,6,9,5,7,9,6,18,6,7,8,9,10,8,10,6,7,6,9,8,7,8,10,9
576,Fabrika 577,7,12.545,10,4536,6271,6,12,5,13594,6780,5,6319,272054,21,45,5039,3,7019,8,10,15949,6369,10,9946,56,10,35,7,40,10,187534,2,520334,64,60,225,654,2,42981,36284,7,7,7,10,7,10,7,8,15,6,9,8,8,5,9,6,5,9,8,10,10,6,10,9,5
577,Fabrika 578,12,13.846,9,7202,7149,10,7,6,10564,5477,8,5285,479349,6,36,5395,2,5201,10,10,19083,5607,10,11577,23,6,27,7,31,6,197694,5,729500,27,93,221,925,2,37920,42144,9,6,9,7,8,5,9,10,13,6,8,6,5,6,5,5,7,10,8,6,9,9,9,10,9
578,Fabrika 579,9,10.169,10,5148,6577,8,10,10,14236,5676,10,5549,100887,16,32,6575,3,6977,8,10,18258,6566,10,12188,31,6,35,8,37,6,344323,1,705088,39,112,227,810,2,39233,36189,9,8,5,10,8,8,7,5,16,6,10,9,7,5,9,8,6,6,5,9,9,7,5,7,9
579,Fabrika 580,9,9.205,7,5403,6255,7,8,10,9574,4716,5,5492,448664,13,49,7185,3,7178,5,10,16366,4623,10,14785,39,10,44,7,46,5,266898,5,555844,53,90,215,515,1,38252,40004,8,9,5,8,6,5,5,7,15,6,5,5,6,10,9,9,5,5,6,5,6,8,9,7,6
580,Fabrika 581,12,10.756,8,6982,7379,10,7,8,14223,6058,8,6380,207762,16,39,5646,2,5102,10,10,15006,7092,10,11171,43,10,48,8,28,6,204834,5,596682,31,71,223,801,2,37417,41656,8,7,6,5,9,6,6,10,20,6,9,8,5,5,6,9,7,8,8,7,7,9,8,10,5
581,Fabrika 582,8,8.440,10,5804,4945,10,10,6,10201,4616,9,4703,468802,20,25,4707,3,4696,10,10,17696,6098,10,8588,51,7,29,7,28,9,142164,3,596942,25,111,223,509,1,38220,37136,6,5,9,8,10,10,8,9,19,6,10,10,7,10,9,7,5,9,9,5,5,6,8,9,9
582,Fabrika 583,10,10.451,10,5669,5630,5,11,6,14267,6890,9,5863,211404,10,37,4958,2,7190,7,10,17959,7141,10,9646,31,10,38,9,44,7,107923,3,739449,20,109,238,871,1,40326,36154,7,5,8,10,7,8,9,7,12,6,6,8,9,5,5,6,5,5,9,5,7,7,8,8,5
583,Fabrika 584,11,12.211,5,4833,6237,6,9,8,9779,5922,6,7219,167468,20,32,6854,2,6279,5,10,17360,4558,10,13873,30,5,44,10,33,7,419560,3,643685,60,99,237,521,2,36280,42678,7,5,7,5,9,5,7,8,12,6,8,7,6,5,10,5,8,10,10,5,10,10,10,7,7
584,Fabrika 585,14,14.444,6,7254,7300,10,15,5,8559,6580,6,4967,274289,16,30,6192,2,4936,7,10,17716,6586,10,10887,38,7,28,7,40,5,173270,3,748887,57,108,230,904,1,37907,38088,10,5,6,8,9,9,10,7,17,6,6,5,9,6,6,5,8,5,10,5,5,7,8,5,7
585,Fabrika 586,14,13.035,6,5137,5284,7,11,5,8580,7219,9,6421,183427,21,42,6327,2,6507,7,10,17572,6786,10,9364,44,6,26,7,35,10,277918,2,565681,46,110,236,586,3,35146,36820,8,7,10,5,6,9,6,8,13,6,9,7,10,5,8,5,9,6,8,6,5,6,7,7,5
586,Fabrika 587,8,9.014,10,4515,5497,10,15,7,14289,4582,9,6572,196978,15,37,6446,3,7027,10,10,16976,4963,10,13629,27,7,34,8,37,9,412142,5,955809,76,76,203,641,2,39139,36871,9,8,7,5,6,10,7,9,20,6,5,7,10,10,10,7,9,9,6,5,8,7,9,5,8
587,Fabrika 588,10,10.289,8,6163,5318,9,11,7,11283,4718,8,6613,374522,10,37,5797,3,6012,9,10,17693,6489,10,8262,34,5,35,9,44,6,341851,4,883811,49,69,214,539,3,43860,38088,6,9,6,10,9,8,9,9,16,6,8,10,7,8,9,10,10,7,8,10,9,7,8,6,9
588,Fabrika 589,14,11.200,5,6029,5069,9,14,9,9272,5725,10,7041,300195,15,38,5978,2,6278,9,10,15525,5124,10,12782,59,5,45,8,43,6,129095,3,859272,34,75,200,931,1,38070,44351,6,9,5,9,10,10,5,7,12,6,8,5,6,6,9,7,5,9,7,5,9,5,6,9,10
589,Fabrika 590,14,7.742,9,6963,5262,5,8,6,7845,6716,7,5397,354127,14,45,5257,2,4844,6,10,15267,5140,10,11594,22,8,41,8,48,5,119863,4,769016,79,64,220,663,1,37265,44392,6,7,7,10,9,8,7,9,14,6,9,8,6,6,5,5,9,5,8,5,5,5,6,9,10
590,Fabrika 591,14,11.507,7,6431,5172,10,12,5,14481,6545,7,6377,144117,11,48,7017,3,7311,8,10,18215,7163,10,14173,44,9,42,9,26,6,376149,2,586007,22,120,207,735,3,40045,40701,7,8,9,8,9,10,9,10,19,6,9,10,9,8,9,7,5,7,5,9,6,6,9,8,8
591,Fabrika 592,9,8.420,5,4858,7246,7,13,5,12209,7250,6,7259,465689,21,36,5058,3,4819,7,10,18456,6016,10,11414,45,5,50,6,27,7,447223,4,653993,66,95,210,759,3,39829,39748,6,6,5,8,8,7,6,7,14,6,5,7,9,6,6,8,9,9,9,10,10,5,7,10,10
592,Fabrika 593,7,8.053,7,7327,5610,9,15,8,12224,6358,8,5068,222222,22,35,7489,3,7458,8,10,16948,5040,10,9259,50,10,41,7,46,7,105028,1,746287,80,108,205,838,2,42910,43233,10,7,6,8,9,7,6,7,18,6,6,7,6,10,5,10,5,9,5,6,5,8,8,7,9
593,Fabrika 594,12,8.967,9,7048,4687,6,12,8,13863,5762,7,4541,327478,19,45,5865,3,6288,5,10,16328,5016,10,8269,35,5,46,10,49,8,263350,2,931742,41,86,222,762,3,43527,35910,8,7,7,8,10,10,10,7,15,6,6,5,6,8,7,6,8,8,10,10,6,8,6,9,10
594,Fabrika 595,7,9.191,5,5678,6491,5,12,8,12183,7249,10,4808,441280,12,25,6818,2,5350,10,10,15240,5854,10,14668,29,9,48,10,40,6,292840,5,777925,51,64,211,715,2,40831,37402,8,8,7,6,9,5,7,8,17,6,10,7,5,8,10,8,10,6,10,10,5,6,6,10,10
595,Fabrika 596,9,10.815,8,6098,5271,5,13,8,8730,4995,10,7326,142229,15,46,5700,2,5262,5,10,17300,6274,10,9602,48,8,28,9,43,6,237707,4,932915,58,115,212,717,3,40703,43233,10,9,9,8,9,5,8,9,13,6,5,6,10,7,5,6,10,10,10,10,10,8,7,6,6
596,Fabrika 597,8,11.067,7,6623,5583,9,8,8,9449,6883,8,6839,223134,16,32,6545,2,6737,9,10,18876,7207,10,9104,42,5,31,10,29,7,296821,1,678493,34,66,219,488,2,44981,36795,7,5,10,7,8,9,7,10,12,6,10,9,6,5,9,10,5,8,9,7,8,8,10,6,8
597,Fabrika 598,11,9.721,7,4937,5102,8,14,10,10313,5315,7,5032,483029,3,45,5216,3,5392,9,10,17041,4717,10,10304,46,9,32,6,44,7,238196,5,656382,72,66,212,465,2,38725,44817,9,9,5,7,8,9,10,10,12,6,5,5,10,7,8,10,9,8,10,6,8,10,8,7,10
598,Fabrika 599,15,10.090,9,5618,6837,9,12,8,12108,5931,10,5078,192227,20,32,4834,3,6768,7,10,16071,5702,10,10092,44,9,47,7,30,6,483610,2,569254,20,84,222,841,1,38150,42176,5,6,7,9,7,10,6,7,12,6,8,8,7,8,10,8,8,7,7,8,7,6,7,6,8
599,Fabrika 600,11,13.353,8,5656,5870,9,14,10,12089,5531,7,7287,191431,6,49,6041,2,5997,5,10,19447,5403,10,8849,54,7,50,9,42,9,392251,3,507585,37,66,234,471,3,38032,40193,9,9,6,10,6,10,10,9,14,6,6,7,7,5,10,10,9,6,7,7,9,7,5,7,10
600,Fabrika 601,9,11.898,10,4792,4553,6,8,7,10226,6971,9,6478,386570,19,32,6283,2,5991,5,10,19709,5170,10,12521,22,8,32,8,32,10,398876,5,510894,46,69,201,468,1,39123,43644,7,9,10,5,5,9,5,5,12,6,8,7,10,10,5,10,7,6,7,7,7,9,7,7,8
